nitiji,kennsuu,09:00,09:30,10:00,10:30,11:00,11:30,12:00,12:30,13:00,13:30,14:00,14:30,15:00,15:30,16:00,16:30,17:30,19:00,23:59
2018/04/23,3,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2018/04/24,3,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2018/04/25,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018/04/26,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018/04/27,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018/05/07,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2018/05/08,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2018/05/09,2,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
2018/05/10,3,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
2018/05/11,2,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2018/05/12,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018/05/14,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2018/05/15,2,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2018/05/16,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2018/05/17,3,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
2018/05/18,3,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
2018/05/19,3,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2018/05/21,5,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0
2018/05/22,5,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0
2018/05/23,4,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0
2018/05/24,4,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
2018/05/25,3,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
2018/05/26,4,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
2018/05/28,3,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
2018/05/29,3,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2018/05/30,2,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2018/05/31,2,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2018/06/01,3,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2018/06/02,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018/06/04,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018/06/05,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018/06/06,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018/06/07,2,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2018/06/08,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018/06/09,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018/06/11,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018/06/12,2,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2018/06/13,2,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2018/06/14,2,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2018/06/15,3,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
2018/06/16,3,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2018/06/19,2,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2018/06/20,2,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2018/06/21,2,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2018/06/22,6,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0
2018/06/23,6,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0
2018/06/24,4,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
2018/06/25,4,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
2018/06/26,6,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0
2018/06/27,4,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
2018/06/28,2,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
2018/06/29,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
